iter	Passed	Remaining
0	3	315
1	6	310
2	9	301
3	11	278
4	14	271
5	16	254
6	17	238
7	19	223
8	20	208
9	22	199
10	23	190
11	24	183
12	26	174
13	27	168
14	28	162
15	29	156
16	30	151
17	31	145
18	32	139
19	33	135
20	34	130
21	35	125
22	36	121
23	37	117
24	37	113
25	38	110
26	39	107
27	40	104
28	41	101
29	42	98
30	43	95
31	43	92
32	44	90
33	45	87
34	45	85
35	46	83
36	47	81
37	48	79
38	49	77
39	50	75
40	50	73
41	51	70
42	52	69
43	53	67
44	53	65
45	54	64
46	55	62
47	56	61
48	57	59
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	61	50
55	62	48
56	63	47
57	63	46
58	65	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	70	36
66	71	35
67	72	34
68	73	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	82	19
81	83	18
82	84	17
83	85	16
84	85	15
85	86	14
86	87	13
87	87	11
88	88	10
89	89	9
90	90	8
91	90	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	96	0
99	96	0
